iso,dipole,hw_dipole,tr38901
-62.707855,-61.367714,-61.16024,-84.707855
-62.951263,-61.663666,-61.478485,-84.951256
-63.099434,-61.847595,-61.677437,-85.09943
-63.569603,-62.45099,-62.335808,-85.56961
-63.601494,-62.49109,-62.379257,-85.601494
-63.626213,-62.524765,-62.41655,-85.62621
-63.63183,-62.531082,-62.423157,-85.63183
-63.623543,-62.52057,-62.411736,-85.62355
-63.607468,-62.498917,-62.38781,-85.60746
-63.563698,-62.441338,-62.32464,-85.5637
-63.554466,-62.430145,-62.31263,-85.55447
-63.545197,-62.41884,-62.300507,-85.5452
-63.47622,-62.327652,-62.20025,-85.47622
-63.419334,-62.25373,-62.119354,-85.41934
-63.2218,-62.001335,-61.84427,-85.2218
-62.729942,-61.393394,-61.187447,-84.729935
-62.689293,-61.345985,-61.137154,-84.68929
-62.164314,-60.72715,-60.47783,-84.164314
-62.15033,-60.709877,-60.459137,-84.15033
-62.57145,-61.202766,-60.983063,-84.57146
-62.968414,-61.683716,-61.49975,-84.968414
-63.552475,-62.4252,-62.306488,-85.552475
-63.584488,-62.467224,-62.352592,-85.58449
-63.629677,-62.52707,-62.41838,-85.62967
-63.635292,-62.533684,-62.425415,-85.63529
-63.63611,-62.535202,-62.4272,-85.63611
-63.632652,-62.530502,-62.421997,-85.632645
-63.62008,-62.515182,-62.40558,-85.62008
-63.616592,-62.5093,-62.39872,-85.61659
-63.603973,-62.492355,-62.380005,-85.60397
-63.53237,-62.398697,-62.27738,-85.53237
-63.267677,-62.056625,-61.903473,-85.26768
-62.970238,-61.684563,-61.500183,-84.970245
-62.921097,-61.624565,-61.435616,-84.9211
-62.871384,-61.563873,-61.37027,-84.871376
-62.67798,-61.330093,-61.11931,-84.67798
-62.444397,-61.053055,-60.82361,-84.4444
-62.27269,-60.8506,-60.60784,-84.27269
-62.29274,-60.87372,-60.632294,-84.29275
-63.149002,-61.905357,-61.738625,-85.149
-63.242706,-62.02437,-61.86818,-85.2427
-63.334427,-62.13971,-61.993332,-85.33443
-63.393295,-62.215874,-62.07663,-85.393295
-63.57312,-62.45038,-62.333527,-85.57312
-63.60498,-62.49144,-62.37832,-85.60498
-63.610626,-62.499313,-62.387093,-85.61063
-63.616264,-62.50699,-62.3956,-85.61627
-63.62571,-62.519615,-62.409515,-85.6257
-63.6131,-62.50293,-62.391174,-85.6131
-63.569405,-62.444412,-62.32663,-85.5694
-63.342316,-62.150925,-62.00592,-85.342316
-63.018845,-61.74386,-61.563995,-85.018845
-62.62539,-61.26609,-61.050423,-84.62539
-62.43245,-61.036446,-60.804977,-84.43245
-62.37207,-60.96534,-60.729248,-84.37207
-63.588013,-62.46673,-62.350464,-85.588005
-63.6521,-62.55237,-62.444847,-85.65209
-63.654236,-62.554382,-62.446815,-85.65423
-63.647316,-62.545258,-62.4368,-85.647316
-63.643867,-62.53997,-62.430756,-85.64386
-63.538116,-62.401215,-62.278595,-85.53811
-63.51017,-62.365807,-62.240128,-85.51018
-63.17157,-61.931686,-61.766525,-85.17157
-63.11444,-61.860367,-61.689293,-85.11444
-63.008377,-61.729126,-61.54747,-85.00838
-62.288086,-60.86679,-60.624382,-84.288086
-62.19754,-60.76255,-60.514183,-84.19754
-62.449966,-61.055527,-60.824745,-84.44997
-62.850983,-61.534866,-61.337616,-84.85098
-62.868538,-61.555397,-61.359406,-84.86854
-62.88604,-61.575867,-61.38114,-84.88605
-62.96187,-61.670372,-61.483536,-84.96187
-63.44551,-62.27945,-62.144867,-85.44551
-63.5029,-62.351807,-62.223373,-85.5029
-63.608475,-62.491333,-62.37674,-85.60848
-63.66458,-62.564346,-62.456627,-85.66458
-63.666702,-62.56746,-62.460136,-85.6667
-63.652916,-62.550003,-62.441193,-85.652916
-63.649452,-62.544395,-62.434708,-85.64945
-63.640396,-62.534172,-62.42401,-85.6404
-63.584297,-62.45862,-62.340553,-85.584305
-62.84967,-61.53325,-61.33587,-84.84967
-62.799133,-61.47151,-61.26937,-84.799126
-62.748016,-61.40911,-61.202156,-84.74801
-62.526505,-61.144363,-60.918884,-84.52651
-62.583023,-61.21009,-60.98857,-84.58304
-62.75521,-61.41697,-61.210297,-84.75521
-63.38141,-62.193787,-62.05033,-85.3814
-63.628853,-62.515488,-62.402435,-85.62885
-63.61177,-62.492035,-62.376396,-85.61177
-63.60264,-62.480988,-62.36457,-85.60264
-63.543854,-62.403564,-62.27955,-85.54385
-62.46369,-61.069885,-60.839386,-84.4637
-62.224518,-60.78894,-60.540306,-84.22453
-62.601715,-61.23185,-61.01165,-84.601715
-62.8266,-61.500404,-61.29889,-84.82659
-62.938095,-61.636795,-61.445816,-84.938095
-63.359833,-62.16452,-62.017883,-85.35983
-63.55954,-62.421906,-62.298973,-85.55954
-63.585823,-62.45688,-62.337486,-85.58583
-63.611977,-62.490738,-62.374496,-85.61197
-63.66752,-62.56459,-62.45578,-85.66751
-63.40248,-62.218163,-62.076073,-85.40248
-63.319122,-62.11193,-61.96038,-85.31912
-63.254005,-62.029877,-61.8713,-85.254
-63.24408,-62.016098,-61.855896,-85.24407
-63.073303,-61.80256,-61.624466,-85.0733
-62.844246,-61.521072,-61.320816,-84.84425
-62.972473,-61.677025,-61.488533,-84.972466
-63.262543,-62.03752,-61.87857,-85.262535
-63.300507,-62.086555,-61.93219,-85.300514
-63.39103,-62.200485,-62.055824,-85.39104
-63.553818,-62.412422,-62.28795,-85.553825
-63.688126,-62.58844,-62.48094,-85.688126
-63.692368,-62.593605,-62.486465,-85.69237
-63.673088,-62.569046,-62.459785,-85.67308
-63.669655,-62.563057,-62.45276,-85.66965
-63.60829,-62.48398,-62.366478,-85.60829
-63.549576,-62.40574,-62.280273,-85.54958
-63.5403,-62.39383,-62.26729,-85.540306
-63.521698,-62.36978,-62.24102,-85.5217
-63.474846,-62.308334,-62.17357,-85.47485
-63.373634,-62.17906,-62.032738,-85.37364
-62.86725,-61.54853,-61.350166,-84.86725
-62.451782,-61.053307,-60.82077,-84.45178
-63.00656,-61.716957,-61.53093,-85.00656
-63.169266,-61.918427,-61.748695,-85.169266
-63.332123,-62.123215,-61.970947,-85.332115
-63.46444,-62.293198,-62.156487,-85.46444
-63.485504,-62.32116,-62.18728,-85.485504
-63.56877,-62.42919,-62.305458,-85.56877
-63.615448,-62.489685,-62.37159,-85.61545
-63.6979,-62.59886,-62.491615,-85.69791
-63.682083,-62.579117,-62.47029,-85.68208
-63.65719,-62.546036,-62.433884,-85.65719
-63.644684,-62.528076,-62.413704,-85.644684
-63.635605,-62.517166,-62.402054,-85.635605
-63.586464,-62.452538,-62.331116,-85.586464
-63.57727,-62.44095,-62.318558,-85.57727
-63.279884,-62.057755,-61.899986,-85.279884
-63.22415,-61.988335,-61.824883,-85.22415
-63.004364,-61.714287,-61.52806,-85.00436
-62.955597,-61.654594,-61.463745,-84.9556
-62.906273,-61.594223,-61.39869,-84.90627
-62.352448,-60.93553,-60.69503,-84.35245
-62.575874,-61.195602,-60.970924,-84.575874
-62.784225,-61.444855,-61.23771,-84.784225
-62.802055,-61.465714,-61.25985,-84.802055
-63.240364,-62.006645,-61.844055,-85.240364
-63.310303,-62.093056,-61.93734,-85.310295
-63.385086,-62.189163,-62.042274,-85.385086
-63.702614,-62.603592,-62.496353,-85.70261
-63.70813,-62.609756,-62.502792,-85.708145
-63.704727,-62.60663,-62.49977,-85.704735
-63.71025,-62.612297,-62.5055,-85.71026
-63.68763,-62.58348,-62.474174,-85.68763
-63.546036,-62.395744,-62.26764,-85.546036
-63.270004,-62.04403,-61.884674,-85.27001
-63.147446,-61.889297,-61.7165,-85.147446
-62.944977,-61.63954,-61.446823,-84.94498
-62.594597,-61.217392,-60.99404,-84.59459
-63.494904,-62.327995,-62.19307,-85.4949
-63.577972,-62.43637,-62.311813,-85.57799
-63.703926,-62.60083,-62.49195,-85.703926
-63.70604,-62.60594,-62.498276,-85.70603
-63.717056,-62.618675,-62.511703,-85.71707
-63.719162,-62.621506,-62.51483,-85.71916
-63.71576,-62.617767,-62.510956,-85.715775
-63.659317,-62.54216,-62.42758,-85.65932
-63.582954,-62.443222,-62.319427,-85.582954
-63.137268,-61.87494,-61.7004,-85.13726
-62.983307,-61.68448,-61.494537,-84.98331
-62.427864,-61.020035,-60.783455,-84.427864
-62.340225,-60.91864,-60.6761,-84.34022
-62.196342,-60.750336,-60.49716,-84.196335
-63.017036,-61.723495,-61.535805,-85.017044
-63.16301,-61.90574,-61.733315,-85.16301
-63.234215,-61.994293,-61.829132,-85.234215
-63.28836,-62.062576,-61.903305,-85.28836
-63.416092,-62.22496,-62.080048,-85.41609
-63.510048,-62.345284,-62.211235,-85.51004
-63.618935,-62.488174,-62.36805,-85.618935
-63.644867,-62.522194,-62.40535,-85.644875
-63.670647,-62.55507,-62.441116,-85.670654
-63.70945,-62.607796,-62.499496,-85.70945
-63.71495,-62.614548,-62.506752,-85.71495
-63.72596,-62.627495,-62.520485,-85.72595
-63.722572,-62.624756,-62.518013,-85.72257
-63.728065,-62.63063,-62.524048,-85.728065
-63.724663,-62.62709,-62.52044,-85.72467
-63.717873,-62.6185,-62.51113,-85.717865
-63.702118,-62.59784,-62.488472,-85.70212
-63.668327,-62.552986,-62.439125,-85.66833
-63.433365,-62.245956,-62.102592,-85.43336
-63.36029,-62.153313,-62.001846,-85.36029
-62.650948,-61.28218,-61.062454,-84.65095
-63.43152,-62.242767,-62.09884,-85.431526
-63.525146,-62.36251,-62.22934,-85.52514
-63.69075,-62.578995,-62.46659,-85.69075
-63.69628,-62.586807,-62.475327,-85.69627
-63.72386,-62.62307,-62.51512,-85.72386
-63.731453,-62.633675,-62.526947,-85.731445
-63.73694,-62.639656,-62.533127,-85.73694
-63.723373,-62.623283,-62.515625,-85.72337
-63.719955,-62.617943,-62.50949,-85.71997
-63.716576,-62.61212,-62.502686,-85.71657
-63.69529,-62.584946,-62.473114,-85.69528
-63.664894,-62.545273,-62.429672,-85.664894
-63.625183,-62.49185,-62.370674,-85.62519
-63.5978,-62.457077,-62.33288,-85.5978
-63.542496,-62.38536,-62.25444,-85.542496
-63.33116,-62.11299,-61.95688,-85.33116
-63.01085,-61.714172,-61.52516,-85.01084
-62.732574,-61.377502,-61.163643,-84.73258
-62.473763,-61.070724,-60.836227,-84.47376
-62.511986,-61.115112,-60.883286,-84.51199
-62.777397,-61.4308,-61.220566,-84.77739
-63.06756,-61.78276,-61.598755,-85.06756
-63.38875,-62.184174,-62.0337,-85.388756
-63.560883,-62.406876,-62.277237,-85.56088
-63.581497,-62.43373,-62.306656,-85.5815
-63.64834,-62.520874,-62.402084,-85.64834
-63.710747,-62.602463,-62.49147,-85.71075
