rss,rss_dbm
3.3823207e-12,-84.707855
3.1979668e-12,-84.951256
3.0907024e-12,-85.09943
2.7735715e-12,-85.56961
2.7532807e-12,-85.601494
2.7376573e-12,-85.62621
2.7341163e-12,-85.63183
2.739336e-12,-85.62355
2.749498e-12,-85.60746
2.7773458e-12,-85.5637
2.7832578e-12,-85.55447
2.7892027e-12,-85.5452
2.8338573e-12,-85.47622
2.871219e-12,-85.41934
3.0048295e-12,-85.2218
3.3651608e-12,-84.729935
3.3968056e-12,-84.68929
3.833264e-12,-84.164314
3.845625e-12,-84.15033
3.4902352e-12,-84.57146
3.1853576e-12,-84.968414
2.7845324e-12,-85.552475
2.7640815e-12,-85.58449
2.7354742e-12,-85.62967
2.7319384e-12,-85.63529
2.7314234e-12,-85.63611
2.733601e-12,-85.632645
2.7415258e-12,-85.62008
2.7437286e-12,-85.61659
2.7517127e-12,-85.60397
2.7974552e-12,-85.53237
2.9732527e-12,-85.26768
3.1840197e-12,-84.970245
3.220258e-12,-84.9211
3.2573315e-12,-84.871376
3.4056664e-12,-84.67798
3.5938496e-12,-84.4444
3.73879e-12,-84.27269
3.7215665e-12,-84.29275
3.0556224e-12,-85.149
2.9904015e-12,-85.2427
2.9279068e-12,-85.33443
2.888489e-12,-85.393295
2.7713296e-12,-85.57312
2.7510722e-12,-85.60498
2.7474956e-12,-85.61063
2.7439292e-12,-85.61627
2.7379754e-12,-85.6257
2.7459343e-12,-85.6131
2.7737023e-12,-85.5694
2.922596e-12,-85.342316
3.1485875e-12,-85.018845
3.447159e-12,-84.62539
3.6037538e-12,-84.43245
3.6542006e-12,-84.37207
2.7618467e-12,-85.588005
2.7213867e-12,-85.65209
2.720052e-12,-85.65423
2.7243828e-12,-85.647316
2.7265482e-12,-85.64386
2.7937572e-12,-85.53811
2.8117881e-12,-85.51018
3.0397872e-12,-85.17157
3.0800373e-12,-85.11444
3.1561867e-12,-85.00838
3.72556e-12,-84.288086
3.804046e-12,-84.19754
3.5892454e-12,-84.44997
3.272668e-12,-84.85098
3.259464e-12,-84.86854
3.2463537e-12,-84.88605
3.190165e-12,-84.96187
2.853967e-12,-85.44551
2.8165027e-12,-85.5029
2.7488576e-12,-85.60848
2.7135763e-12,-85.66458
2.7122506e-12,-85.6667
2.7208752e-12,-85.652916
2.7230453e-12,-85.64945
2.7287276e-12,-85.6404
2.764202e-12,-85.584305
3.2736537e-12,-84.84967
3.3119735e-12,-84.799126
3.3511883e-12,-84.74801
3.526544e-12,-84.52651
3.4809438e-12,-84.58304
3.345639e-12,-84.75521
2.8964053e-12,-85.3814
2.7359892e-12,-85.62885
2.746774e-12,-85.61177
2.752556e-12,-85.60264
2.7900692e-12,-85.54385
3.5779175e-12,-84.4637
3.780485e-12,-84.22453
3.4659953e-12,-84.601715
3.2910963e-12,-84.82659
3.2076726e-12,-84.938095
2.9108302e-12,-85.35983
2.7800084e-12,-85.55954
2.7632308e-12,-85.58583
2.7466462e-12,-85.61197
2.7117427e-12,-85.66751
2.882385e-12,-85.40248
2.9382438e-12,-85.31912
2.9826315e-12,-85.254
2.9894598e-12,-85.24407
3.1093541e-12,-85.0733
3.2777427e-12,-84.84425
3.1823888e-12,-84.972466
2.9767764e-12,-85.262535
2.950864e-12,-85.300514
2.889994e-12,-85.39104
2.7836696e-12,-85.553825
2.6989023e-12,-85.688126
2.6962694e-12,-85.69237
2.7082676e-12,-85.67308
2.710409e-12,-85.66965
2.748976e-12,-85.60829
2.7863911e-12,-85.54958
2.7923512e-12,-85.540306
2.8043368e-12,-85.5217
2.8347515e-12,-85.47485
2.901592e-12,-85.37364
3.2604286e-12,-84.86725
3.5877499e-12,-84.45178
3.157501e-12,-85.00656
3.0413968e-12,-85.169266
2.9294633e-12,-85.332115
2.841554e-12,-85.46444
2.8278061e-12,-85.485504
2.7741021e-12,-85.56877
2.744449e-12,-85.61545
2.6928342e-12,-85.69791
2.7026619e-12,-85.68208
2.7182e-12,-85.65719
2.7260358e-12,-85.644684
2.73174e-12,-85.635605
2.7628251e-12,-85.586464
2.768684e-12,-85.57727
2.964911e-12,-85.279884
3.0032023e-12,-85.22415
3.159106e-12,-85.00436
3.1947771e-12,-84.9556
3.2312627e-12,-84.90627
3.670756e-12,-84.35245
3.4866864e-12,-84.575874
3.323361e-12,-84.784225
3.309745e-12,-84.802055
2.9920142e-12,-85.240364
2.9442204e-12,-85.310295
2.893951e-12,-85.385086
2.6899162e-12,-85.70261
2.6864966e-12,-85.708145
2.6886032e-12,-85.704735
2.6851876e-12,-85.71026
2.6992109e-12,-85.68763
2.7886667e-12,-85.546036
2.9716598e-12,-85.27001
3.0567176e-12,-85.147446
3.2026014e-12,-84.94498
3.4716876e-12,-84.59459
2.8216954e-12,-85.4949
2.7682292e-12,-85.57799
2.6891022e-12,-85.703926
2.6877988e-12,-85.70603
2.6809804e-12,-85.71707
2.6796855e-12,-85.71916
2.6817806e-12,-85.715775
2.7168688e-12,-85.65932
2.7650623e-12,-85.582954
3.0638914e-12,-85.13726
3.1744566e-12,-84.98331
3.6075602e-12,-84.427864
3.681105e-12,-84.34022
3.8050964e-12,-84.196335
3.1498955e-12,-85.017044
3.0457798e-12,-85.16301
2.9962556e-12,-85.234215
2.9591267e-12,-85.28836
2.8733654e-12,-85.41609
2.8118738e-12,-85.51004
2.7422448e-12,-85.618935
2.7259189e-12,-85.644875
2.7097862e-12,-85.670654
2.6856848e-12,-85.70945
2.6822854e-12,-85.71495
2.6754952e-12,-85.72595
2.6775843e-12,-85.72257
2.674197e-12,-85.728065
2.6762926e-12,-85.72467
2.6804847e-12,-85.717865
2.690222e-12,-85.70212
2.7112357e-12,-85.66833
2.8619622e-12,-85.43336
2.910522e-12,-85.36029
3.4269337e-12,-84.65095
2.863172e-12,-85.431526
2.8021118e-12,-85.52514
2.6972732e-12,-85.69075
2.6938434e-12,-85.69627
2.6767865e-12,-85.72386
2.6721132e-12,-85.731445
2.6687396e-12,-85.73694
2.67709e-12,-85.72337
2.6791906e-12,-85.71997
2.681285e-12,-85.71657
2.6944588e-12,-85.69528
2.7133812e-12,-85.664894
2.7383013e-12,-85.62519
2.7556213e-12,-85.5978
2.7909363e-12,-85.542496
2.9301078e-12,-85.33116
3.1543921e-12,-85.01084
3.3631205e-12,-84.73258
