path_id,delay_s,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,channel_gain_db,rss_power_w,rss_power_dbm
0,6.544621e-07,196.33862,-3.0054361e-09,0.0,3.0054361e-09,3.1415927,-170.44186,9.032632635789773e-20,-160.44186401367188
1,5.288093e-07,158.64279,-2.384352e-08,0.0,2.384352e-08,3.1415927,-152.45259,5.685146589218261e-18,-142.4525909423828
2,7.8711116e-07,236.13335,-6.9308174e-07,0.0,6.9308174e-07,3.1415927,-123.18431,4.803625064316334e-15,-113.18431091308594
3,5.64222e-07,169.26659,1.5732642e-09,0.0,1.5732642e-09,0.0,-176.06398,2.475154775483952e-20,-166.06398010253906
4,6.1065623e-07,183.19687,-9.428807e-10,0.0,9.428807e-10,3.1415927,-180.51086,8.890241571274439e-21,-170.5108642578125
5,5.515651e-07,165.46953,3.1405577e-08,0.0,3.1405577e-08,0.0,-150.05986,9.863129570514891e-18,-140.0598602294922
6,5.173863e-07,155.2159,-4.3878333e-07,0.0,4.3878333e-07,3.1415927,-127.155,1.925307583174919e-15,-117.15499877929688
7,4.331541e-07,129.94623,1.0097169e-05,0.0,1.0097169e-05,0.0,-99.91601,1.0195276697530509e-12,-89.91600799560547
8,5.555086e-07,166.65259,5.37435e-10,0.0,5.37435e-10,0.0,-185.3935,2.888360410463886e-21,-175.39349365234375
9,4.721217e-07,141.63652,6.6496995e-08,0.0,6.6496995e-08,0.0,-143.54396,4.421841533423489e-17,-133.54396057128906
10,5.459708e-07,163.79124,7.700857e-09,0.0,7.700857e-09,0.0,-162.26921,5.930330780994798e-19,-152.2692108154297
11,7.9107775e-07,237.32332,-4.270467e-07,0.0,4.270467e-07,3.1415927,-127.39049,1.823690099284005e-15,-117.39048767089844
12,5.557071e-07,166.71213,1.0289034e-10,0.0,1.0289034e-10,0.0,-199.7525,1.0586435724152905e-22,-189.75250244140625
13,5.9193195e-07,177.57959,1.958483e-09,0.0,1.958483e-09,0.0,-174.1616,3.8356539487494354e-20,-164.16160583496094
14,6.1015317e-07,183.04594,1.0045361e-10,0.0,1.0045361e-10,0.0,-199.9607,1.0090926314945896e-22,-189.960693359375
15,4.2797598e-07,128.39279,3.0184044e-10,0.0,3.0184044e-10,0.0,-190.40445,9.110761339063506e-22,-180.40444946289062
16,4.7821993e-07,143.46597,-1.444877e-08,0.0,1.444877e-08,3.1415927,-156.80338,2.087671103595527e-18,-146.80337524414062
17,7.804771e-07,234.14313,9.1557844e-08,0.0,9.1557844e-08,0.0,-140.76608,8.382842880492455e-17,-130.76608276367188
18,4.695495e-07,140.86485,-9.502976e-07,0.0,9.502976e-07,3.1415927,-120.44281,9.030649390448248e-15,-110.44281005859375
19,4.7923277e-07,143.76984,3.1897678e-09,0.0,3.1897678e-09,0.0,-169.9248,1.0174633665836508e-19,-159.9248046875
20,3.819814e-07,114.59442,6.282639e-06,0.0,6.282639e-06,0.0,-104.03716,3.947152663313219e-13,-94.03716278076172
21,5.513129e-07,165.39388,-3.6187398e-09,0.0,3.6187398e-09,3.1415927,-168.82886,1.3095287562843634e-19,-158.828857421875
22,4.2760595e-07,128.28178,-1.0760099e-08,0.0,1.0760099e-08,3.1415927,-159.36368,1.1577984995358787e-18,-149.36367797851562
23,5.280232e-07,158.40695,2.1807772e-10,0.0,2.1807772e-10,0.0,-193.22777,4.755795768104072e-22,-183.22776794433594
24,3.7751738e-07,113.25521,2.9855512e-06,0.0,2.9855512e-06,0.0,-110.499504,8.913503886810031e-14,-100.49950408935547
25,4.290176e-07,128.70528,-2.0963195e-07,0.0,2.0963195e-07,3.1415927,-133.57085,4.394563366752756e-16,-123.57084655761719
26,5.9285327e-07,177.85599,-3.8259346e-10,0.0,3.8259346e-10,3.1415927,-188.34525,1.4637801044435449e-21,-178.34524536132812
27,4.277853e-07,128.33559,1.5142203e-07,0.0,1.5142203e-07,0.0,-136.39621,2.292868954427332e-16,-126.39620971679688
28,6.101531e-07,183.04593,1.0046642e-10,0.0,1.0046642e-10,0.0,-199.95958,1.0093497370408192e-22,-189.95957946777344
29,4.785159e-07,143.55478,-1.02031336e-07,0.0,1.02031336e-07,3.1415927,-139.82532,1.0410424689259986e-16,-129.8253173828125
30,5.5454245e-07,166.36273,-2.2008667e-08,0.0,2.2008667e-08,3.1415927,-153.14813,4.843802163036488e-18,-143.14813232421875
31,7.861859e-07,235.85577,-2.7133362e-08,0.0,2.7133362e-08,3.1415927,-151.32993,7.36221019982614e-18,-141.32992553710938
32,8.62297e-07,258.6891,1.1062339e-07,0.0,1.1062339e-07,0.0,-139.12306,1.2237541592681006e-16,-129.12306213378906
33,8.498445e-07,254.95335,-3.383666e-07,0.0,3.383666e-07,3.1415927,-129.41225,1.1449195058479424e-15,-119.41224670410156
34,4.928537e-07,147.85611,-4.6418553e-08,0.0,4.6418553e-08,3.1415927,-146.66617,2.1546839001505918e-17,-136.66616821289062
35,5.1959177e-07,155.87753,7.984564e-08,0.0,7.984564e-08,0.0,-141.95497,6.37532714989648e-17,-131.95497131347656
36,4.943548e-07,148.30644,1.9194408e-07,0.0,1.9194408e-07,0.0,-134.33652,3.684241272487504e-16,-124.33651733398438
37,4.6202993e-07,138.60898,-5.2005897e-09,0.0,5.2005897e-09,3.1415927,-165.67894,2.7046184901917978e-19,-155.67893981933594
38,5.3225125e-07,159.67537,9.4856304e-08,0.0,9.4856304e-08,0.0,-140.45868,8.997712037838232e-17,-130.45867919921875
39,5.4413096e-07,163.23929,-4.038653e-09,0.0,4.038653e-09,3.1415927,-167.87527,1.6310711794778006e-19,-157.87527465820312
40,4.2664973e-07,127.99492,-7.331742e-07,0.0,7.331742e-07,3.1415927,-122.695854,5.3754328665687155e-15,-112.69585418701172
41,6.1200296e-07,183.60089,-1.8037792e-08,0.0,1.8037792e-08,3.1415927,-154.87634,3.2536088535637744e-18,-144.8763427734375
42,5.446372e-07,163.39116,4.274909e-08,0.0,4.274909e-08,0.0,-147.38145,1.8274864877187088e-17,-137.38145446777344
43,4.7894076e-07,143.68224,1.3770682e-09,0.0,1.3770682e-09,0.0,-177.2209,1.8963139776585168e-20,-167.2209014892578
44,8.668721e-07,260.0616,-5.6570457e-07,0.0,5.6570457e-07,3.1415927,-124.948204,3.2002099063723095e-15,-114.94820404052734
45,5.919015e-07,177.57045,1.9950437e-09,0.0,1.9950437e-09,0.0,-174.00095,3.980201175853663e-20,-164.00094604492188
46,5.4413096e-07,163.23929,-2.363333e-10,0.0,2.363333e-10,3.1415927,-192.52951,5.5853361476145415e-22,-182.52951049804688
47,5.2711573e-07,158.13472,1.42689744e-08,0.0,1.42689744e-08,0.0,-156.91214,2.0360403509163453e-18,-146.91213989257812
48,5.102924e-07,153.08772,2.0774017e-08,0.0,2.0774017e-08,0.0,-153.64958,4.315610118793815e-18,-143.6495819091797
49,5.0998955e-07,152.99686,1.2707379e-08,0.0,1.2707379e-08,0.0,-157.91888,1.6147704998328892e-18,-147.91888427734375
50,5.79643e-07,173.8929,2.6067271e-08,0.0,2.6067271e-08,0.0,-151.67809,6.795031478952618e-18,-141.67808532714844
51,5.4512657e-07,163.53796,1.09547205e-10,0.0,1.09547205e-10,0.0,-199.20798,1.2000591327974059e-22,-189.20797729492188
52,5.4441966e-07,163.3259,-3.507261e-08,0.0,3.507261e-08,3.1415927,-149.10063,1.2300909417866856e-17,-139.1006317138672
53,5.538791e-07,166.16373,-5.1180604e-07,0.0,5.1180604e-07,3.1415927,-125.81789,2.6194553186145546e-15,-115.81788635253906
54,5.3225125e-07,159.67537,-2.7692215e-07,0.0,2.7692215e-07,3.1415927,-131.15285,7.66858208302247e-16,-121.15284729003906
55,8.884831e-07,266.54492,-5.7359557e-08,0.0,5.7359557e-08,3.1415927,-144.82788,3.290121474341508e-17,-134.827880859375
56,5.446372e-07,163.39116,2.4940503e-09,0.0,2.4940503e-09,0.0,-172.0619,6.220279299185714e-20,-162.06190490722656
57,4.7739695e-07,143.21909,-4.1897783e-07,0.0,4.1897783e-07,3.1415927,-127.55618,1.7554234789000445e-15,-117.55618286132812
58,5.175723e-07,155.27168,1.2752469e-07,0.0,1.2752469e-07,0.0,-137.88812,1.6262501868201552e-16,-127.88812255859375
59,6.0630026e-07,181.89008,6.4464456e-09,0.0,6.4464456e-09,0.0,-163.8136,4.155668543502093e-19,-153.8135986328125
60,5.286254e-07,158.58762,1.8379659e-08,0.0,1.8379659e-08,0.0,-154.71326,3.3781200084731658e-18,-144.7132568359375
61,5.098781e-07,152.96342,-4.131623e-08,0.0,4.131623e-08,3.1415927,-147.67758,1.7070355902050646e-17,-137.67758178710938
62,4.925443e-07,147.76329,5.8361053e-08,0.0,5.8361053e-08,0.0,-144.67754,3.4060078237989623e-17,-134.6775360107422
63,5.0981873e-07,152.94562,9.14679e-09,0.0,9.14679e-09,0.0,-160.77463,8.366365794242159e-19,-150.77462768554688
64,8.6281926e-07,258.84576,8.803827e-08,0.0,8.803827e-08,0.0,-141.10657,7.750741896625973e-17,-131.1065673828125
65,8.324259e-07,249.72777,2.1653715e-08,0.0,2.1653715e-08,0.0,-153.28935,4.6888286345037595e-18,-143.2893524169922
66,5.5065203e-07,165.1956,6.932355e-08,0.0,6.932355e-08,0.0,-143.18239,4.8057456510044547e-17,-133.18238830566406
67,4.2676703e-07,128.0301,-1.4443168e-07,0.0,1.4443168e-07,3.1415927,-136.80676,2.086044419833717e-16,-126.8067626953125
68,4.7407084e-07,142.22125,1.1888525e-06,0.0,1.1888525e-06,0.0,-118.49744,1.4133709495464924e-14,-108.4974365234375
